condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
endpoint,1,48,-0.020218253135681152,0.5,0.45771827049137925,6.25,0.21364368498325348,-7.797689437866211,0.0,3.600024700164795,0.04124860838055611
endpoint,1,49,0.6056782603263855,0.75,0.08182176183043555,6.25,0.21395151317119598,-2.2278175354003906,0.0,3.582044839859009,0.04793757200241089
endpoint,1,50,0.9524999856948853,1.0,0.0,4.75,0.2144283801317215,-0.2985968291759491,0.0,3.569986343383789,0.043478261679410934
endpoint,1,51,0.6829595565795898,0.75,0.027040444383401696,4.0,0.21474578976631165,-5.281810760498047,0.0,3.5579748153686523,0.06688963621854782
endpoint,1,52,0.309650182723999,0.5,0.10784982500564144,8.25,0.21451017260551453,-3.0814075469970703,0.0,3.550652265548706,0.08695652335882187
endpoint,1,53,0.9650000333786011,1.0,0.0,3.5,0.2141612023115158,-0.1904299557209015,0.0,3.546576499938965,0.09921962022781372
endpoint,1,54,0.20800594985485077,0.5,0.23199405658120076,6.0,0.21376191079616547,-8.081010818481445,0.0,3.5464792251586914,0.013377927243709564
endpoint,1,55,0.677929162979126,0.75,0.029570888570251565,4.25,0.2136298418045044,-5.568789482116699,0.0,3.5487663745880127,0.012263099662959576
endpoint,1,56,0.9600000381469727,1.0,0.0,4.0,0.21343323588371277,-0.19436344504356384,0.0,3.5526890754699707,0.010033445432782173
endpoint,1,57,0.9700000286102295,1.0,0.0,3.0,0.2136646956205368,-0.04761754348874092,0.0,3.557685136795044,0.0055741360411047935
endpoint,1,58,0.9624999761581421,1.0,0.0,3.75,0.21411842107772827,-0.08901862800121307,0.0,3.5630624294281006,0.001114827231504023
endpoint,1,59,0.6624578833580017,0.75,0.02004214261522258,6.75,0.21450786292552948,-3.6239564418792725,0.0,3.576099395751953,0.0
endpoint,1,60,0.9700000286102295,1.0,0.0,3.0,0.21503354609012604,-0.01658477447926998,0.0,3.5887253284454346,0.0
trajectory,1,1,0.6546106338500977,0.75,0.04538933508021229,5.0,0.21328414976596832,-1.4574062824249268,1.1719460487365723,1.4614371061325073,0.5317726135253906
trajectory,1,2,0.9775000214576721,1.0,0.0,2.25,0.2146538943052292,-0.032139040529727936,1.4614371061325073,1.6805959939956665,0.5139353275299072
